url_length,has_at,has_dash,has_https,digit_count,has_ip,is_shortened,suspicious_tld,url_entropy,count_subdomains,contains_keywords,label
23,False,True,False,0,False,False,False,3.8820451081368623,1,True,1
33,True,True,True,0,False,False,False,4.173033892020166,2,True,1
24,False,False,False,8,True,False,False,3.9072682296173893,3,True,1
33,False,True,False,0,False,False,False,4.173033892020166,1,True,1
30,False,True,False,0,False,False,False,4.056564762130955,1,True,1
27,False,False,True,0,False,False,False,3.81008102052173,2,True,1
43,True,True,True,0,False,False,False,4.367897894136355,3,True,1
27,False,True,False,1,False,False,False,4.310443057719024,1,True,1
79,True,True,True,0,False,False,False,4.3731540912780975,2,True,1
40,False,True,False,0,False,False,False,3.887326145256009,3,True,1
42,False,True,True,0,False,False,False,3.894844732550639,3,True,1
37,False,True,False,0,False,False,False,4.208924987016683,1,True,1
44,False,True,False,0,False,False,False,4.098652005434406,2,True,1
65,False,True,True,4,False,False,False,4.523012245237668,4,True,1
52,False,True,False,0,False,False,False,4.21228437227082,5,True,1
43,False,True,False,0,False,False,False,4.210807487109298,1,True,1
37,False,True,True,0,False,False,False,4.303783770917412,1,True,1
43,False,True,False,0,False,False,False,4.2374411389168944,1,True,1
52,False,True,False,0,False,False,False,4.130715623805702,4,True,1
42,False,True,False,0,False,False,False,4.175188482808195,3,True,1
44,False,True,True,0,False,False,False,4.282739857027813,1,True,1
32,False,False,True,0,False,False,True,3.8820488277869583,1,False,1
22,False,False,True,0,False,False,False,3.6635327548042547,2,False,0
29,False,False,True,0,False,False,False,4.1162646156680225,2,True,0
22,False,False,True,0,False,False,False,3.7544418457133455,2,False,0
22,False,False,True,0,False,False,False,3.6978458230844122,2,False,0
25,False,False,True,0,False,False,False,3.863465189601647,2,False,0
